zip,post_year,num_conversions,total_new_condo_units,median_value_jump,median_value_jump_pct
02108,2017,1,2,3970000.0,0.13070389148613945
02109,2016,1,3,-231600.0,-0.005057077725275781
02110,2017,1,3,-91300.0,-0.5947882736156351
02111,2017,2,5,-23646600.0,-0.4709504650204679
02113,2017,2,7,443300.0,0.1519061081127388
02114,2016,1,3,-35349900.0,-0.999997171145686
02114,2017,3,7,617400.0,0.079379773200648
02115,2016,2,18,-3098000.0,-1.0
02115,2017,5,19,478000.0,0.08344256734755921
02116,2016,13,44,-1440000.0,-1.0
02116,2017,9,43,-1761800.0,-1.0
02118,2016,12,33,-1278450.0,-1.0
02118,2017,15,134,-1791188.0,-1.0
02119,2016,6,19,-28000.0,-0.15516763646439458
02119,2017,8,31,-462700.0,-1.0
02120,2016,4,8,485313.0,0.12616085238166513
02121,2016,3,12,-309400.0,-1.0
02121,2017,2,8,-311400.0,-1.0
02122,2016,11,39,-499300.0,-1.0
02122,2017,11,42,-491895.0,-1.0
02124,2016,5,13,215904.0,0.09268475366178429
02124,2017,4,20,-546450.0,-1.0
02125,2016,15,77,-461900.0,-1.0
02125,2017,10,49,-508700.0,-1.0
02126,2016,3,8,282000.0,0.13888204875646393
02126,2017,3,9,-170400.0,-1.0
02127,2016,38,201,-617000.0,-1.0
02127,2017,29,228,-755775.0,-1.0
02128,2016,16,56,-228945.5,-1.0
02128,2017,21,72,-423405.0,-1.0
02129,2016,14,52,-623700.0,-1.0
02129,2017,7,24,-632200.0,-1.0
02130,2016,33,119,-531200.0,-1.0
02130,2017,33,111,-720800.0,-1.0
02131,2016,16,48,-465200.0,-1.0
02131,2017,28,124,-531900.0,-1.0
02132,2016,5,13,-484300.0,-1.0
02132,2017,6,19,0.0,-0.47073170731707314
02134,2016,4,8,759675.0,0.5685520125961764
02134,2017,4,8,-1111324.0,-0.6633987975478638
02135,2016,4,12,6550.0,0.04413746630727763
02135,2017,3,115,14600.0,0.19913888650652803
02136,2016,10,27,0.0,-1.0
02136,2017,7,22,134200.0,0.14886300610094289
02210,2017,2,282,-35724950.0,-0.45837712844229556
02215,2016,14,28,-692000.0,-0.3688900203665988
02215,2017,4,8,5162250.0,-0.04824685757123777
2108,2022,4,14,,
2108,2023,8,35,,
2108.0,2019,6,18,-5439750.0,-1.0
2108.0,2024,2,13,-8334350.0,-1.0
2109,2022,1,7,,
2109,2023,2,4,,
2110.0,2019,1,2,64117500.0,132.3374613003096
2110.0,2020,2,25,332676.5,0.2873160231828115
2111,2023,1,4,,
2113,2022,3,9,,
2113,2023,7,26,,
2113.0,2019,1,6,-2894000.0,-1.0
2113.0,2024,5,22,-1585700.0,-1.0
2114,2023,11,96,,
2114.0,2019,4,8,-136100.0,-0.1601490412620941
2114.0,2024,1,2,,
2115,2022,1,2,,
2115,2023,10,22,,
2115.0,2019,6,15,-576250.0,-0.017827724625463094
2115.0,2020,1,5,-7043100.0,-0.9188050355488879
2115.0,2021,4,8,,
2115.0,2024,2,247,-2258700.0,-1.0
2116,2022,4,15,,
2116,2023,14,177,0.0,
2116.0,2019,3,9,-1620300.0,-1.0
2116.0,2020,2,6,-476500.0,-0.5145729177747048
2116.0,2021,5,143,,
2116.0,2024,4,178,-2565800.0,-1.0
2118,2022,9,33,,
2118,2023,18,203,0.0,
2118.0,2019,15,117,-2314500.0,-1.0
2118.0,2020,5,19,1423400.0,-0.19040384828026197
2118.0,2021,2,7,,
2118.0,2024,5,20,-3246000.0,-1.0
2119,2022,10,34,,
2119,2023,58,140,0.0,
2119.0,2019,13,51,-453800.0,-1.0
2119.0,2020,2,8,-943650.0,-0.6107419068519386
2119.0,2021,3,8,,
2119.0,2024,11,51,-990600.0,-1.0
2120,2023,25,58,,
2120.0,2019,3,6,36000.0,0.04127299850820487
2120.0,2021,2,4,,
2120.0,2024,3,19,-1036300.0,-1.0
2121,2022,6,22,,
2121,2023,24,64,0.0,
2121.0,2019,5,26,-546600.0,-1.0
2121.0,2020,2,23,-1136600.0,-0.6650910952996981
2121.0,2021,4,8,,
2121.0,2024,9,35,-742000.0,-1.0
2122,2022,13,58,,
2122,2023,48,139,0.0,
2122.0,2019,23,75,-524640.0,-1.0
2122.0,2020,2,6,387150.0,
2122.0,2021,8,27,,
2122.0,2024,10,37,-881150.0,-1.0
2124,2022,18,70,,
2124,2023,39,175,,
2124.0,2019,20,69,-439800.0,-1.0
2124.0,2020,5,16,-273100.0,-0.25555373025776995
2124.0,2021,13,125,,
2124.0,2024,17,65,-1010900.0,-1.0
2125,2022,12,60,,
2125,2023,45,116,0.0,
2125.0,2019,27,111,-617000.0,-1.0
2125.0,2020,5,17,200.0,-0.2002043051744569
2125.0,2021,7,27,,
2125.0,2024,15,73,-1041400.0,-1.0
2126,2022,4,20,,
2126,2023,9,26,0.0,
2126.0,2019,1,4,-389200.0,-1.0
2126.0,2021,1,3,,
2126.0,2024,5,26,-1333750.0,-1.0
2127,2022,29,265,,
2127,2023,117,458,0.0,-1.0
2127.0,2019,30,228,-976615.5,-1.0
2127.0,2020,1,4,96300.0,0.17647058823529413
2127.0,2021,4,61,,
2127.0,2024,29,235,-1608700.0,-1.0
2128,2022,51,220,,
2128,2023,27,83,,
2128.0,2019,51,214,-584500.0,-1.0
2128.0,2020,2,8,-138752.5,-0.27921936950000265
2128.0,2024,44,338,-1075900.0,-1.0
2129,2022,8,66,,
2129,2023,35,116,0.0,
2129.0,2019,14,47,-1043994.0,-1.0
2129.0,2024,8,27,-1263300.0,-1.0
2130,2022,28,94,,
2130,2023,109,273,0.0,
2130.0,2019,23,93,-823526.0,-1.0
2130.0,2020,5,18,21400.0,-0.258437270726339
2130.0,2021,4,15,,
2130.0,2024,20,86,-1334000.0,-1.0
2131,2022,17,64,,
2131,2023,110,297,0.0,
2131.0,2019,21,79,-523600.0,-1.0
2131.0,2020,10,69,-223700.0,-0.28531445875368544
2131.0,2021,6,20,,
2131.0,2024,25,97,-692900.0,-1.0
2132,2022,11,34,,
2132,2023,37,77,0.0,
2132.0,2019,8,23,-576100.0,-1.0
2132.0,2020,1,3,-191100.0,-0.2772377774553895
2132.0,2021,4,11,,
2132.0,2024,3,20,-886300.0,-1.0
2134,2022,2,7,,
2134,2023,13,27,,
2134.0,2019,5,13,171000.0,0.0583617747440273
2134.0,2020,1,2,33200.0,0.024438719175561282
2134.0,2021,2,11,,
2134.0,2024,3,44,-1110100.0,-1.0
2135,2022,8,30,,
2135,2023,38,103,0.0,
2135.0,2019,3,7,0.0,0.0
2135.0,2020,3,89,100.0,-0.4566403343356608
2135.0,2021,4,10,,
2135.0,2024,7,59,-1330000.0,-1.0
2136,2022,11,41,,
2136,2023,59,131,0.0,
2136.0,2019,8,22,-353200.0,-1.0
2136.0,2020,3,9,-200000.0,-0.3752669039145907
2136.0,2021,11,26,,
2136.0,2024,6,17,-846400.0,-1.0
2199.0,2019,1,2,55156600.0,26.385667814772294
2210,2022,1,2,,
2210,2023,2,5,,
2210.0,2019,3,7,100500.0,0.028349788434414668
2210.0,2020,2,5,-40346987.5,1.005025232195846
2215,2022,2,8,,
2215,2023,2,4,,
2215.0,2019,1,2,52414000.0,1.3694235065121687
2215.0,2020,3,6,21500.0,0.02562574493444577
2215.0,2021,2,32,,
2467.0,2019,1,2,136080.0,0.07
